"MMWR_week","Recip_State","SumOfSeries_Complete_Yes"
15,"KS",4931669.00
15,"KY",7913509.00
15,"LA",7137501.00
15,"MA",12990443.00
15,"MD",10760515.00
15,"ME",2811866.00
15,"MI",16732877.00
15,"MN",10612377.00
15,"MO",9323170.00
15,"MS",4297359.00
15,"MT",1942753.00
15,"NC",17289588.00
15,"ND",1477911.00
15,"NE",3477392.00
15,"NH",895331.00
15,"NJ",16721312.00
15,"NM",4553077.00
15,"NV",4779823.00
15,"NY",36137593.00
15,"OH",19453169.00
15,"OK",6981144.00
15,"OR",6851739.00
15,"PA",21523491.00
15,"RI",2215114.00
15,"SC",7787802.00
15,"SD",1813612.00
15,"TN",9260348.00
15,"TX",0.00
15,"UT",3952242.00
15,"VA",14483503.00
15,"VT",1219731.00
15,"WA",13353429.00
15,"WI",10896778.00
15,"WV",3129649.00
15,"WY",949969.00
16,"AK",1685151.00
16,"AL",7064435.00
16,"AR",4755291.00
16,"AZ",13383811.00
16,"CA",73819595.00
16,"CO",11018536.00
16,"CT",8324253.00
16,"DC",1265426.00
16,"DE",1854255.00
16,"FL",38300764.00
16,"GA",15197209.00
16,"HI",0.00
16,"IA",6523777.00
16,"ID",3039274.00
16,"IL",23774200.00
16,"IN",11451587.00
16,"KS",5669610.00
16,"KY",9014056.00
16,"LA",8009857.00
16,"MA",14902273.00
16,"MD",12521532.00
16,"ME",3208933.00
16,"MI",19109706.00
16,"MN",11923924.00
16,"MO",10518972.00
16,"MS",4770370.00
16,"MT",2165556.00
16,"NC",19780539.00
16,"ND",1617360.00
16,"NE",3902011.00
16,"NH",1037202.00
16,"NJ",18913455.00
16,"NM",5013598.00
16,"NV",5376549.00
16,"NY",40958022.00
16,"OH",22680996.00
16,"OK",7709311.00
16,"OR",7730123.00
16,"PA",24818687.00
16,"RI",2423777.00
16,"SC",8819925.00
16,"SD",1999219.00
16,"TN",10587900.00
16,"TX",0.00
16,"UT",4656607.00
16,"VA",16800561.00
16,"VT",1409505.00
16,"WA",15073309.00
16,"WI",12511590.00
16,"WV",3449619.00
16,"WY",1019446.00
17,"AK",1775456.00
17,"AL",7853138.00
17,"AR",5252077.00
17,"AZ",14964111.00
17,"CA",82942945.00
17,"CO",12676642.00
17,"CT",9378288.00
17,"DC",1465520.00
17,"DE",2141135.00
17,"FL",43053821.00
17,"GA",17429054.00
17,"HI",0.00
17,"IA",7273932.00
17,"ID",3342651.00
17,"IL",26608290.00
17,"IN",12668914.00
17,"KS",6311074.00
17,"KY",9834296.00
17,"LA",8663934.00
17,"MA",16978042.00
17,"MD",14093890.00
17,"ME",3566300.00
17,"MI",21646913.00
17,"MN",13292816.00
17,"MO",11689800.00
17,"MS",5120334.00
17,"MT",2379875.00
17,"NC",21798236.00
17,"ND",1725631.00
17,"NE",4303091.00
17,"NH",1056729.00
17,"NJ",21247733.00
17,"NM",5448489.00
17,"NV",5855938.00
17,"NY",45705390.00
17,"OH",25649672.00
17,"OK",8301121.00
17,"OR",8754891.00
17,"PA",27987055.00
17,"RI",2639832.00
17,"SC",9750307.00
17,"SD",2221031.00
17,"TN",11884310.00
17,"TX",0.00
17,"UT",5185166.00
17,"VA",19064106.00
17,"VT",1566517.00
17,"WA",16780856.00
17,"WI",14074283.00
17,"WV",3724339.00
17,"WY",1100261.00
18,"AK",1859932.00
18,"AL",8518557.00
18,"AR",5669879.00
18,"AZ",16111282.00
18,"CA",91648162.00
18,"CO",14184567.00
18,"CT",10383038.00
18,"DC",1629578.00
18,"DE",2381463.00
18,"FL",47027895.00
18,"GA",19438737.00
18,"HI",0.00
18,"IA",8026755.00
18,"ID",3589093.00
18,"IL",28887150.00
18,"IN",14038371.00
18,"KS",6818710.00
18,"KY",10443020.00
18,"LA",9054034.00
18,"MA",19019941.00
18,"MD",15426500.00
18,"ME",3954876.00
18,"MI",23759239.00
18,"MN",14534944.00
18,"MO",12714254.00
18,"MS",5446693.00
18,"MT",2562457.00
18,"NC",23912480.00
18,"ND",1789476.00
18,"NE",4730588.00
18,"NH",1720203.00
18,"NJ",23407600.00
18,"NM",5912268.00
18,"NV",6411590.00
18,"NY",50760858.00
18,"OH",27809956.00
18,"OK",8724030.00
18,"OR",9686952.00
18,"PA",30798940.00
18,"RI",2898967.00
18,"SC",10536785.00
18,"SD",2388467.00
18,"TN",13091581.00
18,"TX",0.00
18,"UT",5706722.00
18,"VA",21167272.00
18,"VT",1734516.00
18,"WA",18375857.00
18,"WI",15281599.00
18,"WV",3931543.00
18,"WY",1160602.00
19,"AK",1910047.00
19,"AL",9178110.00
19,"AR",6010376.00
19,"AZ",17257482.00
19,"CA",101467432.00
19,"CO",15848124.00
19,"CT",11508036.00
19,"DC",1851992.00
19,"DE",2585655.00
19,"FL",52039296.00
19,"GA",21102914.00
19,"HI",0.00
19,"IA",8653731.00
19,"ID",3785625.00
19,"IL",31456071.00
19,"IN",15332087.00
19,"KS",7289783.00
19,"KY",11102621.00
19,"LA",9607783.00
19,"MA",21333421.00
19,"MD",17077659.00
19,"ME",4379376.00
19,"MI",25900277.00
19,"MN",15840078.00
19,"MO",13701476.00
19,"MS",5697944.00
19,"MT",2703312.00
19,"NC",25486252.00
19,"ND",1849045.00
19,"NE",5215385.00
19,"NH",2773724.00
19,"NJ",25727813.00
19,"NM",6327855.00
19,"NV",6993551.00
19,"NY",55764181.00
19,"OH",29879954.00
19,"OK",9043745.00
19,"OR",10893554.00
19,"PA",33535050.00
19,"RI",3198878.00
19,"SC",11240734.00
19,"SD",2493164.00
19,"TN",14317867.00
19,"TX",0.00
19,"UT",6282580.00
19,"VA",23121111.00
19,"VT",1921079.00
19,"WA",20283992.00
19,"WI",16451513.00
19,"WV",4075035.00
19,"WY",1213249.00
20,"AK",1955359.00
20,"AL",9636567.00
20,"AR",6271415.00
20,"AZ",18106060.00
20,"CA",110132694.00
20,"CO",17002655.00
20,"CT",12385259.00
20,"DC",2094279.00
20,"DE",2725064.00
20,"FL",55624157.00
20,"GA",22164963.00
20,"HI",0.00
20,"IA",9148434.00
20,"ID",3960434.00
20,"IL",33554408.00
20,"IN",16412489.00
20,"KS",7537715.00
20,"KY",11580561.00
20,"LA",9883132.00
20,"MA",23187015.00
20,"MD",18461080.00
20,"ME",4723799.00
20,"MI",27593204.00
20,"MN",17008042.00
20,"MO",14381459.00
20,"MS",5860703.00
20,"MT",2814371.00
20,"NC",26587119.00
20,"ND",1890822.00
